,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
31347,1,1,1,1.0,1.0,A20IYZIHV2BAF9
31346,1,1,1,1.0,1.0,A3FRZEUTCK09PZ
31345,0,0,1,0.0,0.0,A1756GE9KOLWUR
31344,1,1,1,1.0,1.0,A18W1FO8PYCRES
31343,0,0,1,0.0,0.0,A125MKULH3T7I2
31342,1,1,1,1.0,1.0,A2ZA3Z91RUPZFW
31341,1,1,1,1.0,1.0,A2262WUZRAVURV
31385,1,1,1,1.0,1.0,A3CVM1FPBIFZ6F
31785,1,1,1,1.0,1.0,AZAHERHOQUWCN
31386,1,1,1,1.0,1.0,A39BP7N5UXVZB4
31426,0,0,1,0.0,0.0,A2WH80G6RZTHVG
31433,0,0,1,0.0,0.0,AAHTFTIFZ5VFK
31432,1,1,1,1.0,1.0,A126LCW1GHP71V
31431,0,0,1,0.0,0.0,A3HGGS3CCIQ8QI
31430,1,1,1,1.0,1.0,A4FB0RSBZEMK7
31429,0,0,1,0.0,0.0,A3VV2Q0AB9GBTP
31428,0,1,1,0.0,1.0,A3BUM4SCXPOL3C
31427,1,1,1,1.0,1.0,ALJ9VR0S0J32X
31425,1,1,1,1.0,1.0,A27DIDVTPUOGW2
31387,1,1,1,1.0,1.0,A1WP5PTEW58DUS
31424,0,0,1,0.0,0.0,A3T1LD0C65QCWK
31423,1,1,1,1.0,1.0,A250Z7LRP08G70
31422,1,1,1,1.0,1.0,A1YQQ88TD4BNB
31421,0,1,1,0.0,1.0,AB1K94PN7BR68
31420,0,1,1,0.0,1.0,A3DNRMY4E5C78C
31419,1,1,1,1.0,1.0,AYQ2BWAU0DOBD
31418,1,1,1,1.0,1.0,AAC4J3I0VSH09
31434,0,0,1,0.0,0.0,A3MGSMK8ZR6S6Z
31776,1,1,1,1.0,1.0,A22L0W77AX36TC
31435,0,0,1,0.0,0.0,ASM7OPQSZALOT
31775,1,1,1,1.0,1.0,A220WY32EAZ3PK
31447,0,0,1,0.0,0.0,AAO63FN0KQFNH
31772,1,1,1,1.0,1.0,AHD6X1SQ42ZFE
31446,0,1,1,0.0,1.0,A3REF2IX80IEEO
